num_reviews,asin
1051,0972683275
250,1400501466
82,1400501520
139,1400501776
171,1400532620
484,1400532655
431,140053271X
84,1400532736
222,1400599997
138,1400698987
60,3744295508
83,6301977173
107,7214047977
95,8862935293
199,9573212919
110,9575871979
119,9625993428
70,9888002198
70,9966694544
174,9983891212
79,9984984354
62,9985511476
98,B000001OM4
124,B000001OM5
52,B000001OMI
185,B000001ON6
332,B00000DM9W
51,B00000IGBF
53,B00000J05A
262,B00000J061
99,B00000J08Q
61,B00000J0D2
76,B00000J0D5
86,B00000J1EJ
66,B00000J1EP
138,B00000J1EQ
57,B00000J1F3
56,B00000J1GA
109,B00000J1QK
68,B00000J1QR
149,B00000J1SC
128,B00000J1TX
53,B00000J1U8
105,B00000J1UQ
89,B00000J1V3
321,B00000J1V5
58,B00000J3NF
74,B00000J3Q7
106,B00000J3UJ
83,B00000J434
68,B00000J4EY
122,B00000J4FS
96,B00000J4GE
90,B00000J6WY
121,B00000JBAT
59,B00000JBHP
56,B00000JBPB
78,B00000JCT8
109,B00000JCTO
82,B00000JD34
282,B00000JDF5
103,B00000JDF6
57,B00000JDHV
57,B00000JFE3
55,B00000JFIF
68,B00000JFMK
61,B00000JHWX
392,B00000JI4F
83,B00000JII6
55,B00000JMUG
183,B00000JSGF
70,B00000JYLO
72,B00000JYWQ
277,B00000K135
121,B00000K13A
100,B00000K13L
457,B00000K2YR
51,B00000K2YV
209,B00000K4KH
89,B00001OPJZ
260,B00001OWYM
579,B00001P4XA
430,B00001P4XH
2075,B00001P4ZH
387,B00001P4ZR
209,B00001P505
132,B00001QEMF
51,B00001U0AJ
94,B00001W0DD
62,B00001W0DG
326,B00001W0DH
268,B00001W0DI
303,B00001W0EQ
1586,B00001WRSJ
57,B00001X5AL
88,B00001ZT4H
332,B00001ZWXA
52,B000021YU8
61,B000021YUO
58,B0000222MY
96,B0000228GF
51,B0000228GG
64,B000023VUL
126,B000023VW2
126,B000026D8E
91,B000028F42
53,B00002CEX9
74,B00002EQCS
423,B00002EQCW
62,B00002JXFH
74,B00002N7FQ
137,B00002NDRQ
73,B00002ST80
149,B00002SWHH
52,B00002SWUE
184,B00003006E
90,B00003006K
104,B00003006R
148,B000031KIM
83,B000038AB2
55,B000038ABH
254,B00003CWDG
313,B00003CWDH
95,B00003CWDK
144,B00003CWDQ
151,B00003G1RG
195,B00003WGP5
65,B00004LMEC
102,B00004R8V6
126,B00004R8VC
179,B00004RC2D
77,B00004RC2E
78,B00004RDL5
78,B00004RDMR
62,B00004RFB8
91,B00004RG6K
57,B00004RIUB
52,B00004RIUJ
126,B00004S9AK
1030,B00004SABB
398,B00004SABJ
1006,B00004SB92
57,B00004SB99
53,B00004SD88
52,B00004SGD3
146,B00004SPUN
120,B00004SQET
136,B00004SY4H
89,B00004SYNX
71,B00004T0RC
286,B00004T1XE
403,B00004T1XK
1692,B00004T8R2
321,B00004TBLW
106,B00004TDL2
232,B00004TDLD
58,B00004TDMX
88,B00004TDN0
115,B00004TDN2
55,B00004TDSC
88,B00004TEN2
51,B00004TENT
51,B00004TH2X
820,B00004THCZ
122,B00004THDE
77,B00004TJ7O
91,B00004TKVD
107,B00004TL5Q
70,B00004TRD9
168,B00004TS16
137,B00004TVSP
52,B00004TWLY
434,B00004TWM6
107,B00004TWVY
110,B00004TX6Z
73,B00004TX71
53,B00004TYBM
74,B00004TZE5
135,B00004UE2R
525,B00004VUGJ
140,B00004VWM3
258,B00004VX15
230,B00004VX39
188,B00004VX3T
63,B00004VXNF
117,B00004VXNI
76,B00004W3YX
205,B00004W3ZQ
79,B00004WCFT
64,B00004WCFY
107,B00004WCGC
680,B00004WCGF
54,B00004WCIA
511,B00004WCIC
535,B00004WCID
58,B00004WGNF
74,B00004WHE5
71,B00004WHFK
68,B00004WIMW
58,B00004WLJ2
68,B00004WLJ9
101,B00004X0ZO
72,B00004X10B
83,B00004XO1V
297,B00004XOM3
53,B00004XOYF
89,B00004XRED
68,B00004Y2MM
78,B00004Y3UX
55,B00004Y3UY
99,B00004Y7CF
60,B00004Y7TC
108,B00004Y7TD
94,B00004YBVE
58,B00004YBVF
70,B00004YMBK
70,B00004YMCA
65,B00004YRVY
53,B00004YZLX
97,B00004YZQ8
128,B00004Z0BN
162,B00004Z0BO
281,B00004Z0C7
53,B00004Z476
79,B00004Z5CQ
344,B00004Z5D1
95,B00004Z5H3
53,B00004Z5KA
52,B00004Z5L8
77,B00004Z5LZ
815,B00004Z5M1
57,B00004Z5P4
246,B00004Z5PY
65,B00004Z5QU
97,B00004Z5VS
149,B00004Z61H
95,B00004Z68P
56,B00004Z6KW
124,B00004Z6N6
67,B00004Z6Q6
130,B00004Z6XS
162,B00004Z7G9
82,B00004Z7H5
720,B00004ZC8Y
211,B00004ZC9V
52,B00004ZCA5
88,B00004ZCAT
76,B00004ZCB4
59,B00004ZCDD
2547,B00004ZCJE
303,B00004ZCKV
57,B00004ZCLV
59,B0000504DH
66,B000050AUJ
53,B000050LUE
134,B000050NPX
81,B000050X97
70,B000050XL7
71,B00005105N
79,B00005108H
56,B0000510IA
194,B0000510T7
356,B0000510ZO
60,B00005111L
108,B00005114Z
134,B00005115S
61,B000051174
78,B0000511BI
181,B0000511U7
87,B00005125T
210,B000051299
55,B00005137P
137,B0000513O4
83,B0000513US
121,B000051SD1
131,B000051SEN
98,B000051SGX
105,B000051SHL
125,B000051WW9
75,B000051YGF
63,B000051YGP
410,B000051ZOA
91,B00005219A
57,B00005219O
63,B000053HBB
166,B000053HC5
347,B000053HH5
92,B000056KYO
55,B000056L2R
54,B000056SJT
305,B000056SSM
128,B00005853X
146,B00005853Z
151,B00005854B
363,B000058AKE
297,B000058BCQ
114,B000058BCR
96,B000058E2B
95,B000058EGT
90,B000059MSI
57,B000059Y4N
92,B000059ZYA
522,B00005A1K1
239,B00005A1KZ
195,B00005A9AU
123,B00005A9AV
117,B00005AB9R
102,B00005ABC5
158,B00005AC8J
69,B00005AC8W
151,B00005AR4L
795,B00005ARK3
161,B00005ARK4
85,B00005AT7Y
1015,B00005ATMB
597,B00005ATMI
68,B00005ATZN
69,B00005ATZO
110,B00005AW1F
304,B00005AW1H
62,B00005AW1X
186,B00005AWBJ
157,B00005AWCL
259,B00005AXHW
52,B00005AY8Q
154,B00005B4BW
82,B00005B6TI
81,B00005B6UF
52,B00005B70I
120,B00005B8HO
109,B00005B8M3
99,B00005B9W6
56,B00005BABT
347,B00005BC0J
315,B00005BC0K
251,B00005BMSN
179,B00005I9RU
86,B00005JAD8
69,B00005JDDZ
465,B00005K47X
109,B00005KB24
150,B00005KK2Q
116,B00005LB8P
51,B00005LE6Z
85,B00005LE75
58,B00005LE76
65,B00005LE77
1107,B00005LEN4
176,B00005LENO
102,B00005LEOH
74,B00005LEOO
87,B00005LLY4
61,B00005LVWB
62,B00005LWLW
61,B00005MA7J
61,B00005MA9X
85,B00005MAAR
62,B00005MIS8
687,B00005ML7Q
72,B00005MNSS
90,B00005MOZG
57,B00005N5WU
162,B00005N5WW
149,B00005N5X2
57,B00005N5X7
1296,B00005N6KG
79,B00005NBR6
146,B00005NCWK
101,B00005NCWM
52,B00005NGQF
53,B00005NHGP
