num_reviews,asin
5,0528881469
5,0594451647
8,0594481813
219,0972683275
43,1400501466
20,1400501520
20,1400501776
41,1400532620
109,1400532655
71,140053271X
13,1400532736
41,1400599997
28,1400698987
12,1400699169
5,1615527613
19,3744295508
7,3930992868
6,3936710058
6,6301977173
13,7214047977
6,7507825604
6,7799813393
6,8862935293
5,8862936826
7,8918010656
7,9043413585
9,9573212900
34,9573212919
25,9575871979
35,9625993428
6,9862510447
5,9876050621
18,9888002198
8,9966338926
5,9966541551
7,9966569863
13,9966694544
7,9981739588
17,9983891204
84,9983891212
23,9984984354
5,9984984362
9,998498480X
19,9985511476
10,B000001OL6
34,B000001OM4
27,B000001OM5
12,B000001OMA
10,B000001OMI
7,B000001OMT
6,B000001OMZ
41,B000001ON6
5,B000006OQ8
51,B00000DM9W
7,B00000DMA3
8,B00000I9HE
5,B00000I9HF
9,B00000IGBF
7,B00000J05A
7,B00000J060
56,B00000J061
13,B00000J08C
16,B00000J08Q
8,B00000J0AR
10,B00000J0D2
14,B00000J0D5
5,B00000J0D8
6,B00000J0IX
7,B00000J1E6
18,B00000J1EJ
13,B00000J1EP
35,B00000J1EQ
12,B00000J1F3
9,B00000J1GA
23,B00000J1QK
30,B00000J1QR
79,B00000J1SC
42,B00000J1TX
21,B00000J1U8
6,B00000J1UA
5,B00000J1UB
46,B00000J1UQ
5,B00000J1UY
31,B00000J1V3
174,B00000J1V5
18,B00000J1V7
6,B00000J1V8
8,B00000J3G3
8,B00000J3GR
5,B00000J3HB
8,B00000J3II
14,B00000J3Q1
13,B00000J3Q7
14,B00000J3SA
7,B00000J3UH
16,B00000J3UJ
9,B00000J3WQ
5,B00000J40X
20,B00000J434
5,B00000J47F
5,B00000J4CX
16,B00000J4DV
23,B00000J4EY
30,B00000J4FS
28,B00000J4GE
12,B00000J4L8
5,B00000J4LQ
8,B00000J4M9
5,B00000J4VK
6,B00000J4VL
5,B00000J506
7,B00000J579
20,B00000J6WY
7,B00000JBAH
7,B00000JBAT
5,B00000JBHE
13,B00000JBHP
5,B00000JBIA
6,B00000JBJQ
8,B00000JBLJ
5,B00000JBRV
11,B00000JBUI
13,B00000JCT8
16,B00000JCTO
21,B00000JD34
6,B00000JD3C
9,B00000JD3O
9,B00000JD4T
16,B00000JD4V
5,B00000JDEL
149,B00000JDF5
50,B00000JDF6
14,B00000JDF8
6,B00000JDFI
10,B00000JDGQ
13,B00000JDHV
7,B00000JDK0
5,B00000JF4M
11,B00000JFE3
9,B00000JFIF
8,B00000JFMK
12,B00000JGN9
9,B00000JGNB
7,B00000JHVP
6,B00000JHWX
8,B00000JI2C
5,B00000JI2D
5,B00000JI38
11,B00000JI48
82,B00000JI4F
14,B00000JII6
5,B00000JMO4
6,B00000JMRV
8,B00000JMRX
10,B00000JPPI
8,B00000JSES
24,B00000JSGF
6,B00000JXV3
12,B00000JYLO
14,B00000JYWQ
108,B00000K135
38,B00000K13A
15,B00000K13I
40,B00000K13L
108,B00000K2YR
10,B00000K2YV
6,B00000K3RI
6,B00000K3RK
70,B00000K4KH
10,B00000K4LF
6,B00001MXYW
5,B00001OPJ1
6,B00001OPJQ
5,B00001OPJV
13,B00001OPJZ
44,B00001OWYM
15,B00001OXQ9
158,B00001P4XA
184,B00001P4XH
482,B00001P4ZH
94,B00001P4ZR
76,B00001P505
10,B00001P584
5,B00001QEAE
14,B00001QEMF
5,B00001QHP5
11,B00001RMCY
5,B00001RME8
8,B00001U0AJ
8,B00001W0D4
6,B00001W0D5
15,B00001W0DC
18,B00001W0DD
9,B00001W0DG
56,B00001W0DH
69,B00001W0DI
70,B00001W0EQ
5,B00001W0H1
403,B00001WRSJ
5,B00001X5AL
5,B00001YVG4
17,B00001ZT4H
6,B00001ZWRV
5,B00001ZWTY
136,B00001ZWXA
6,B0000206CT
11,B000021YU8
5,B000021YUL
11,B000021YUO
13,B0000222MY
5,B0000225BA
7,B0000225BD
12,B0000226IH
8,B0000226L0
12,B0000226QJ
28,B0000228GF
17,B0000228GG
8,B000023VUE
18,B000023VUL
37,B000023VW2
55,B000026D8E
22,B000028F42
33,B00002EQCS
211,B00002EQCW
28,B00002JXFH
7,B00002MZ8G
14,B00002N5E4
26,B00002N7FQ
6,B00002NAXD
5,B00002NDRF
54,B00002NDRQ
7,B00002ST80
31,B00002SWHH
12,B00002SWUE
8,B000030068
78,B00003006E
36,B00003006K
28,B00003006R
12,B0000300QN
6,B0000300QQ
6,B0000303I7
50,B000031KIM
7,B000031WCH
13,B0000326O1
11,B0000326O3
10,B0000365CI
18,B000038AB2
12,B000038ABH
18,B00003CW9Q
6,B00003CWA6
5,B00003CWC9
106,B00003CWDG
129,B00003CWDH
36,B00003CWDK
45,B00003CWDQ
5,B00003CWDU
5,B00003CWDW
9,B00003CWE5
6,B00003CWEI
5,B00003CWEX
14,B00003CWFA
15,B00003CWG2
5,B00003CWG3
14,B00003CWG4
10,B00003ETSJ
7,B00003G1LP
5,B00003G1RC
8,B00003G1RE
68,B00003G1RG
5,B00003G1RJ
6,B00003GO0E
11,B00003IEMD
9,B00003OPEU
6,B00003OPEV
35,B00003WGP5
8,B00003ZDJ7
12,B0000488VI
9,B0000488VK
12,B00004L8IG
6,B00004LC7Z
5,B00004NKHY
8,B00004OCOX
10,B00004R7OI
16,B00004R8V6
24,B00004R8VC
16,B00004R8VE
5,B00004R8VM
43,B00004RC2D
16,B00004RC2E
8,B00004RC2G
16,B00004RC2I
7,B00004RD8K
13,B00004RDL5
17,B00004RDMR
13,B00004RG6K
6,B00004RIGR
7,B00004RIPE
8,B00004RIUB
10,B00004RIUJ
37,B00004S9AK
225,B00004SABB
6,B00004SABH
58,B00004SABJ
244,B00004SB92
6,B00004SB94
11,B00004SB96
8,B00004SB98
6,B00004SB99
7,B00004SC3Y
9,B00004SCKA
6,B00004SD87
9,B00004SD88
7,B00004SD89
11,B00004SGD3
5,B00004SP9W
10,B00004SPC0
14,B00004SPUN
46,B00004SQET
7,B00004SQGI
11,B00004STHL
5,B00004STQK
5,B00004SU73
6,B00004SUG7
9,B00004SV1W
51,B00004SY4H
5,B00004SY5G
5,B00004SYB7
5,B00004SYKO
5,B00004SYNW
33,B00004SYNX
6,B00004SYVH
13,B00004T0RC
61,B00004T1XE
38,B00004T1XK
6,B00004T2LJ
552,B00004T8R2
9,B00004TBBA
58,B00004TBLW
7,B00004TCTK
23,B00004TDL2
18,B00004TDLD
10,B00004TDMX
18,B00004TDN0
20,B00004TDN2
13,B00004TDN4
9,B00004TDN7
10,B00004TDRH
10,B00004TDSA
19,B00004TDSC
8,B00004TDWY
28,B00004TEN2
14,B00004TENT
6,B00004TEUK
5,B00004TF4V
5,B00004TH2W
6,B00004TH2X
7,B00004TH9M
9,B00004THCX
10,B00004THCY
233,B00004THCZ
5,B00004THD4
24,B00004THDE
9,B00004THM6
7,B00004THM7
15,B00004TJ0L
11,B00004TJ7O
5,B00004TJ7S
22,B00004TKVD
21,B00004TL5Q
5,B00004TL5W
14,B00004TRD9
39,B00004TS16
10,B00004TS39
5,B00004TS3B
5,B00004TS3D
6,B00004TS3P
51,B00004TVSP
14,B00004TWLY
15,B00004TWM0
7,B00004TWM3
48,B00004TWM6
14,B00004TWVY
6,B00004TX68
35,B00004TX6Z
30,B00004TX71
8,B00004TX77
5,B00004TX7E
5,B00004TY7F
8,B00004TY7O
5,B00004TY7Q
22,B00004TYBM
8,B00004TZE5
30,B00004TZF9
6,B00004TZFM
6,B00004TZJI
6,B00004TZJQ
7,B00004U12J
9,B00004U3AW
10,B00004U47J
11,B00004U4MT
5,B00004U4S7
6,B00004U5VM
8,B00004U89W
7,B00004U8B8
7,B00004U8JS
5,B00004U8K4
5,B00004U8LO
9,B00004UDQ1
24,B00004UE2R
7,B00004UFQJ
8,B00004UFQR
115,B00004VUGJ
7,B00004VUM1
8,B00004VUMF
5,B00004VUMG
8,B00004VVA4
37,B00004VWM3
7,B00004VX14
61,B00004VX15
70,B00004VX39
7,B00004VX3A
49,B00004VX3T
5,B00004VXN2
15,B00004VXNF
28,B00004VXNI
12,B00004VXNY
5,B00004VXO2
12,B00004W3YK
11,B00004W3YX
103,B00004W3ZQ
8,B00004WCBT
5,B00004WCBU
7,B00004WCCQ
17,B00004WCEY
43,B00004WCFT
36,B00004WCFY
12,B00004WCG6
38,B00004WCGC
14,B00004WCGD
182,B00004WCGF
16,B00004WCI7
20,B00004WCIA
198,B00004WCIC
250,B00004WCID
11,B00004WGNF
8,B00004WHE5
